Record_ID,Species,Taxon_Group,Date_Recorded,Site_Name,Habitat_Type,Recorder_Type,Survey_Method
288,Common Frog,Amphibian,15/07/2022,Lowland Heath,Heathland,Volunteer,Automated recorder
289,Barn Owl,Bird,07/05/2023,Lowland Heath,Heathland,Consultant,Professional survey
290,Lapwing,Bird,10/09/2024,North Fen,Fen,Staff Ecologist,Citizen science
291,Common Frog,Amphibian,21/09/2023,Riverdale Nature Reserve,Wetland,Volunteer,Citizen science
292,Grass Snake,Reptile,27/07/2023,Lowland Heath,Heathland,Volunteer,Citizen science
293,Common Pipistrelle,Mammal,21/04/2024,Ashwood Woodland,Woodland,Volunteer,Professional survey
294,Common Pipistrelle,Mammal,29/09/2023,North Fen,Fen,Staff Ecologist,Automated recorder
295,Water Vole,Mammal,31/08/2022,North Fen,Fen,Staff Ecologist,Professional survey
296,,Bird,02/08/2022,Coastal Meadows,Grassland,Staff Ecologist,Professional survey
297,Common Frog,Amphibian,15/11/2024,Ashwood Woodland,Woodland,Volunteer,Citizen science
298,Water Vole,Mammal,15/08/2022,Coastal Meadows,Grassland,Volunteer,Automated recorder
299,Great Crested Newt,Amphibian,03/11/2022,Lowland Heath,Heathland,Staff Ecologist,Citizen science
300,Barn Owl,Bird,21/07/2023,Lowland Heath,Heathland,Volunteer,Professional survey
